"TOA5","QUANTOM_1000X_sn6221","CR1000X","6221","CR1000X.Std.05.01","CPU:2022may13_1000Xsn6221_QUANTOM_depl_rev03.CR1X","13762","Table15min"
"TIMESTAMP","RECORD","Batt_volt_Min","PTemp","OptodeSatOut","OptodeConOut","OptodeTempOut","BarometerPressOut","PAR_Den_Out_Avg","CdomRawVoltOut","CdomVoltOut","CdomCalcConOut","pCO2_out"
"TS","RN","","","%","uM","C","mbar","umol/s/m2","mV","mV","ppb",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp"
"2022-05-13 11:45:00",0,12.52,6.535,92.7,423.4,0.007,"0959.96",632,2698,269.8,135.1,807
"2022-05-13 12:00:00",1,12.56,6.768,92.7,423.3,0.008,"0960.07",754.4,2693,269.3,134.8,820
"2022-05-13 12:15:00",2,12.67,6.826,92.8,423.4,0.012,"0960.19",1161,2692,269.2,134.8,822
"2022-05-13 12:30:00",3,12.73,6.687,92.8,423.4,0.014,"0960.31",1087,2684,268.4,134.4,815
"2022-05-13 12:45:00",4,12.74,6.561,92.7,423.2,0.016,"0960.41",1039,2678,267.8,134.1,819
"2022-05-13 13:00:00",5,12.74,6.471,92.7,423,0.017,"0960.57",984,2673,267.3,133.8,798.1
"2022-05-13 13:15:00",6,12.75,6.419,92.7,423,0.015,"0960.67",800,2660,266,133.2,789.3
"2022-05-13 13:30:00",7,12.75,6.398,92.7,423,0.013,"0960.80",789.7,2658,265.8,133.1,804
"2022-05-13 13:45:00",8,12.75,6.403,92.6,422.8,0.014,"0960.88",881,2652,265.2,132.7,809
"2022-05-13 14:00:00",9,12.75,6.426,92.6,422.8,0.013,"0960.99",958,2648,264.8,132.6,790.3
"2022-05-13 14:15:00",10,12.75,6.464,92.4,421.9,0.018,"0961.08",1046,2636,263.6,132,787.4
"2022-05-13 14:30:00",11,12.75,6.512,92.5,422.3,0.017,"0961.12",1045,2626,262.6,131.5,793.2
"2022-05-13 14:45:00",12,12.75,6.568,92.3,421.2,0.021,"0961.21",989,2620,262,131.1,804
"2022-05-13 15:00:00",13,12.75,6.631,92.5,422.2,0.02,"0961.32",1165,2623,262.3,131.3,794.2
"2022-05-13 15:15:00",14,12.75,6.698,92.7,423,0.018,"0961.45",781,2616,261.6,131,772.6
"2022-05-13 15:30:00",15,12.75,6.768,92.8,423.6,0.017,"0961.55",894,2573,257.3,128.8,791.2
"2022-05-13 15:45:00",16,12.75,6.842,92.8,423.6,0.016,"0961.57",1002,2599,259.9,130.1,775.5
"2022-05-13 16:00:00",17,12.75,6.918,92.9,424,0.014,"0961.64",892,2598,259.8,130,773.6
"2022-05-13 16:15:00",18,12.75,6.998,92.9,424.2,0.013,"0961.68",762.6,2590,259,129.6,785.4
"2022-05-13 16:30:00",19,12.75,7.083,92.9,424.3,0.01,"0961.79",640.3,2589,258.9,129.6,779.5
"2022-05-13 16:45:00",20,12.75,7.171,93,424.6,0.008,"0961.86",583.8,2584,258.4,129.3,782.5
"2022-05-13 17:00:00",21,12.75,7.261,93.1,425,0.007,"0962.01",759.9,2580,258,129.1,772.6
"2022-05-13 17:15:00",22,12.75,7.359,93.2,425.5,0.006,"0962.09",664,2576,257.6,128.9,776.6
"2022-05-13 17:30:00",23,12.75,7.466,93.3,425.8,0.005,"0962.20",651.2,2572,257.2,128.7,758.9
"2022-05-13 17:45:00",24,12.75,7.582,93.4,426.4,0.006,"0962.21",766.9,2561,256.1,128.2,768.8
"2022-05-13 18:00:00",25,12.75,7.717,93.4,426.6,0.001,"0962.25",561.6,2559,255.9,128.1,771.7
"2022-05-13 18:15:00",26,12.75,7.866,93.5,426.8,0.002,"0962.24",428.4,2554,255.4,127.8,770.7
"2022-05-13 18:30:00",27,12.75,8.03,93.6,427.2,0.002,"0962.29",457.6,2551,255.1,127.7,767.8
"2022-05-13 18:45:00",28,12.75,8.19,93.5,427.2,-0.002,"0962.26",441.8,2548,254.8,127.5,741.2
"2022-05-13 19:00:00",29,12.75,8.36,93.6,427.6,-0.003,"0962.38",410.9,2547,254.7,127.5,760
"2022-05-13 19:15:00",30,12.75,8.52,93.7,428.1,-0.006,"0962.46",273.7,2539,253.9,127,761
"2022-05-13 19:30:00",31,12.75,8.67,93.8,428.3,-0.008,"0962.47",206.8,2540,254,127.1,758
"2022-05-13 19:45:00",32,12.75,8.81,93.8,428.3,-0.01,"0962.45",205.6,2537,253.7,127,751.1
"2022-05-13 20:00:00",33,12.75,8.93,93.9,428.9,-0.01,"0962.51",254.6,2534,253.4,126.8,763
"2022-05-13 20:15:00",34,12.75,9.03,93.9,428.9,-0.011,"0962.49",208,2527,252.7,126.5,772.8
"2022-05-13 20:30:00",35,12.75,9.12,94,429.2,-0.012,"0962.49",178.5,2524,252.4,126.3,761
"2022-05-13 20:45:00",36,12.75,9.18,94,429.3,-0.012,"0962.51",147.5,2522,252.2,126.2,736.3
"2022-05-13 21:00:00",37,12.75,9.23,94,429.5,-0.014,"0962.63",113.8,2521,252.1,126.2,760
"2022-05-13 21:15:00",38,12.75,9.27,94,429.6,-0.015,"0962.73",85.7,2515,251.5,125.8,752.1
"2022-05-13 21:30:00",39,12.75,9.31,94.1,429.9,-0.014,"0962.75",61.43,2514,251.4,125.8,757
"2022-05-13 21:45:00",40,12.75,9.33,94.1,429.9,-0.017,"0962.71",43.72,2516,251.6,125.9,743.1
"2022-05-13 22:00:00",41,12.75,9.35,94.2,430.3,-0.017,"0962.78",33.02,2509,250.9,125.6,743.1
"2022-05-13 22:15:00",42,12.75,9.36,94.2,430.5,-0.019,"0962.90",24.83,2504,250.4,125.3,743.1
"2022-05-13 22:30:00",43,12.75,9.35,94.2,430.5,-0.017,"0963.02",18.93,2500,250,125.1,760.9
"2022-05-13 22:45:00",44,12.75,9.31,94.2,430.6,-0.019,"0963.16",14.38,2499,249.9,125,759.9
"2022-05-13 23:00:00",45,12.75,9.24,94.3,430.8,-0.02,"0963.26",11,2493,249.3,124.7,760.8
"2022-05-13 23:15:00",46,12.75,9.14,94.2,430.6,-0.021,"0963.14",8.53,2491,249.1,124.6,769.6
